ensembl_gene_id	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000009307	1	114716913	114758704	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	CSDE1
ENSG00000009724	1	11022009	11047241	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]	MASP2
ENSG00000009780	1	27725961	27763116	family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]	FAM76A
ENSG00000009790	1	209756032	209782320	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]	TRAF3IP3
ENSG00000010072	1	231337104	231355023	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	SPRTN
ENSG00000010165	1	171781660	171814023	methyltransferase 13, eEF1A N-terminus and K55 [Source:HGNC Symbol;Acc:HGNC:24248]	METTL13
ENSG00000010256	3	48599002	48610976	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	UQCRC1
ENSG00000010318	3	52410507	52427966	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	PHF7
ENSG00000010319	3	52433035	52445103	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]	SEMA3G
ENSG00000010322	3	52455118	52493068	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]	NISCH
ENSG00000010803	1	41027202	41242306	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	SCMH1
ENSG00000011007	1	23743448	23762059	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	ELOA
ENSG00000011009	1	23791110	23795544	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	LYPLA2
ENSG00000011021	1	11806096	11848079	chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]	CLCN6
ENSG00000011198	3	43690108	43734371	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]	ABHD5
ENSG00000011376	3	45388527	45554726	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]	LARS2
ENSG00000011523	2	65056350	65087010	centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]	CEP68
ENSG00000011566	2	39249266	39437324	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	MAP4K3
ENSG00000012171	3	50267542	50277546	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	SEMA3B
ENSG00000013016	2	31233961	31269451	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	EHD3
ENSG00000013297	3	170418865	170454733	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	CLDN11
ENSG00000013441	2	200853009	200864697	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	CLK1
ENSG00000014257	3	132317369	132368302	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]	ACP3
ENSG00000014641	2	63588557	63607273	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	MDH1
ENSG00000014914	1	149928651	149937523	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	MTMR11
ENSG00000016391	3	53812335	53846466	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]	CHDH
ENSG00000016602	1	86547076	86580758	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]	CLCA4
ENSG00000016864	3	52694153	52706368	glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]	GLT8D1
ENSG00000017260	3	130850511	131016712	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	ATP2C1
ENSG00000018280	2	218382029	218396894	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	SLC11A1
ENSG00000018408	3	149517235	149736714	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	WWTR1
ENSG00000018510	2	177392576	177567024	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	AGPS
ENSG00000018607	2	132309309	132318736	zinc finger protein 285C, pseudogene [Source:HGNC Symbol;Acc:HGNC:33228]	ZNF285CP
ENSG00000018625	1	160115758	160143595	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	ATP1A2
ENSG00000018699	2	32628032	32821051	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]	TTC27
ENSG00000019169	2	118942172	118994664	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	MARCO
ENSG00000020129	1	35557456	35567274	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]	NCDN
ENSG00000021574	2	32063530	32157637	spastin [Source:HGNC Symbol;Acc:HGNC:11233]	SPAST
ENSG00000021826	2	210477682	210679107	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	CPS1
ENSG00000023228	2	206114817	206159522	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	NDUFS1
ENSG00000023330	3	52198086	52214585	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	ALAS1
ENSG00000023572	1	193090866	193106114	glutaredoxin 2 [Source:HGNC Symbol;Acc:HGNC:16065]	GLRX2
ENSG00000023902	1	150149183	150164720	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]	PLEKHO1
ENSG00000023909	1	93885199	93909513	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	GCLM
ENSG00000024526	1	68474152	68497230	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	DEPDC1
ENSG00000025800	1	32108056	32176563	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]	KPNA6
ENSG00000026751	1	160739057	160754821	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	SLAMF7
ENSG00000027869	1	156806235	156817014	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	SH2D2A
ENSG00000028116	2	57907606	58164001	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	VRK2
ENSG00000030419	2	212999691	213152427	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	IKZF2
ENSG00000031081	3	119294352	119420714	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	ARHGAP31
ENSG00000031698	1	109213844	109238773	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	SARS1
ENSG00000032389	2	3188925	3377852	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	EIPR1
ENSG00000033122	1	69567922	70151945	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	LRRC7
ENSG00000033867	3	27372723	27484451	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	SLC4A7
ENSG00000034510	2	84904923	84906680	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	TMSB10
ENSG00000034533	3	131013066	131027649	asteroid homolog 1 [Source:HGNC Symbol;Acc:HGNC:25021]	ASTE1
ENSG00000035115	2	217730	266398	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	SH3YL1
ENSG00000035141	2	70295976	70302067	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]	FAM136A
ENSG00000035687	1	244408494	244451909	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	ADSS2
ENSG00000036054	3	100260780	100325251	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]	TBC1D23
ENSG00000036257	2	224470150	224585397	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	CUL3
ENSG00000036549	1	77562416	77683422	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]	ZZZ3
ENSG00000037637	1	16246840	16352487	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	FBXO42
ENSG00000038002	4	177430774	177442444	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]	AGA
ENSG00000038219	4	13568738	13627725	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	BOD1L1
ENSG00000038295	4	165873237	166104457	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	TLL1
ENSG00000040487	1	19312284	19329300	solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]	SLC66A1
ENSG00000040933	2	98444246	98594392	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	INPP4A
ENSG00000041802	3	194640791	194672463	large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]	LSG1
ENSG00000041880	3	51942252	51948871	poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]	PARP3
ENSG00000041988	1	6624845	6635586	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]	THAP3
ENSG00000042445	2	85341954	85354655	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	RETSAT
ENSG00000042493	2	85393587	85422017	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	CAPG
ENSG00000043093	3	182938074	182985953	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]	DCUN1D1
ENSG00000043514	1	39838110	39883511	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	TRIT1
ENSG00000044012	1	42153410	42155820	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	GUCA2B
ENSG00000044524	3	89107522	89482437	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	EPHA3
ENSG00000047315	4	56977722	57031158	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	POLR2B
ENSG00000047410	1	186311652	186375693	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	TPR
ENSG00000047849	3	47850678	48089295	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	MAP4
ENSG00000048707	1	12230030	12512047	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	VPS13D
ENSG00000048991	2	135531448	135725314	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]	R3HDM1
ENSG00000049089	1	40300487	40317813	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	COL9A2
ENSG00000049239	1	9234774	9271337	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	H6PD
ENSG00000049245	1	7771296	7781432	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	VAMP3
ENSG00000049246	1	7784291	7845181	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	PER3
ENSG00000049323	2	32946472	33399509	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	LTBP1
ENSG00000050628	1	70852353	71047816	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	PTGER3
ENSG00000051341	3	121431426	121546002	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	POLQ
ENSG00000051382	3	138652336	138834957	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	PIK3CB
ENSG00000052723	1	114769479	114780699	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]	SIKE1
ENSG00000053371	1	19301991	19312144	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]	AKR7A2
ENSG00000053372	1	19251796	19260128	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	MRTO4
ENSG00000053524	3	183178041	183428778	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]	MCF2L2
ENSG00000054116	1	36136570	36156053	trafficking protein particle complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19942]	TRAPPC3
ENSG00000054118	1	36224392	36305376	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]	THRAP3
ENSG00000054219	2	159803355	159904756	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	LY75
ENSG00000054267	1	235131634	235328219	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	ARID4B
ENSG00000054277	1	241590102	241677376	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	OPN3
ENSG00000054282	1	243255349	243500095	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	SDCCAG8
ENSG00000054356	2	219289623	219309648	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	PTPRN
ENSG00000054392	1	210328252	210676298	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]	HHAT
ENSG00000054523	1	10210533	10381606	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	KIF1B
ENSG00000055044	2	202265725	202303666	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]	NOP58
ENSG00000055070	1	16352575	16398147	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]	SZRD1
ENSG00000055332	2	37099210	37157688	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	EIF2AK2
ENSG00000055732	1	85018082	85048679	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	MCOLN3
ENSG00000055917	2	20248691	20352234	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	PUM2
ENSG00000056050	4	169729468	169757944	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]	HPF1
ENSG00000056736	3	53845783	53866045	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	IL17RB
ENSG00000057019	3	98795941	98901729	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	DCBLD2
ENSG00000057252	1	179293440	179358680	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	SOAT1
ENSG00000057757	1	23778393	23788232	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]	PITHD1
ENSG00000057935	2	42494569	42756947	metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]	MTA3
ENSG00000058056	3	179653004	179804366	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]	USP13
ENSG00000058063	3	182793472	182923011	ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]	ATP11B
ENSG00000058085	1	183186057	183245127	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	LAMC2
ENSG00000058262	3	128051641	128071705	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	SEC61A1
ENSG00000058453	1	16740273	16972964	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	CROCC
ENSG00000058668	1	203626778	203744081	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	ATP2B4
ENSG00000058673	1	203795623	203854999	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]	ZC3H11A
ENSG00000058799	1	53847531	53890683	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	YIPF1
ENSG00000058804	1	53765460	53838560	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	NDC1
ENSG00000058866	3	186105668	186362261	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	DGKG
ENSG00000059588	1	234391313	234479197	tRNA guanosine 2 -O-methyltransferase TARBP1 [Source:HGNC Symbol;Acc:HGNC:11568]	TARBP1
ENSG00000059728	2	69897688	69942945	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	MXD1
ENSG00000060642	1	26787054	26800659	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	PIGV
ENSG00000060656	1	29236505	29326813	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	PTPRU
ENSG00000060688	1	31259568	31296788	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	SNRNP40
ENSG00000060718	1	102876467	103108872	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	COL11A1
ENSG00000060971	3	38103129	38137647	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	ACAA1
ENSG00000061676	2	182909115	183038858	NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]	NCKAP1
ENSG00000061938	3	195863364	195911945	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	TNK2
ENSG00000063660	2	240435636	240468076	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	GPC1
ENSG00000063978	4	2462220	2515859	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	RNF4
ENSG00000064012	2	201233443	201361836	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	CASP8
ENSG00000064225	3	98732175	98821201	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	ST3GAL6
ENSG00000064703	1	111754832	111775602	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	DDX20
ENSG00000064886	1	111200771	111243440	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	CHI3L2
ENSG00000064933	2	189784085	189878385	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]	PMS1
ENSG00000064989	2	187341946	187448506	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	CALCRL
ENSG00000065135	1	109548584	109600195	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	GNAI3
ENSG00000065183	1	117929063	117966543	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	WDR3
ENSG00000065243	1	88684222	88836255	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]	PKN2
ENSG00000065485	3	123067025	123225227	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	PDIA5
ENSG00000065518	3	120596303	120602507	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	NDUFB4
ENSG00000065526	1	15836095	15940456	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]	SPEN
ENSG00000065534	3	123610049	123884375	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	MYLK
ENSG00000065548	2	186486222	186511929	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]	ZC3H15
ENSG00000065600	1	212363926	212414909	proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]	PACC1
ENSG00000065802	2	238426742	238452250	ankyrin repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:16011]	ASB1
ENSG00000065911	2	74186172	74217565	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	MTHFD2
ENSG00000065978	1	42682408	42703805	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	YBX1
ENSG00000066027	1	212285357	212361863	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	PPP2R5A
ENSG00000066135	1	43649256	43705518	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]	KDM4A
ENSG00000066136	1	40691570	40771606	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	NFYC
ENSG00000066185	1	42430329	42456253	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	ZMYND12
ENSG00000066248	2	232878686	233013263	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	NGEF
ENSG00000066279	1	197084121	197146694	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	ASPM
ENSG00000066322	1	43363396	43368075	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	ELOVL1
ENSG00000066422	3	101648889	101677135	zinc finger and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16740]	ZBTB11
ENSG00000066557	1	70143411	70205639	leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]	LRRC40
ENSG00000067066	2	230415942	230545606	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	SP100
ENSG00000067208	1	92508696	92792416	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	EVI5
ENSG00000067334	1	93866284	93879918	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	DNTTIP2
ENSG00000067533	1	218285290	218337983	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	RRP15
ENSG00000067560	3	49359136	49412998	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	RHOA
ENSG00000067606	1	2050411	2185395	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	PRKCZ
ENSG00000067704	1	220094107	220148041	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]	IARS2
ENSG00000068001	3	50315845	50324687	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	HYAL2
ENSG00000068024	2	239048168	239401661	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]	HDAC4
ENSG00000068028	3	50329782	50340980	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]	RASSF1
ENSG00000068615	2	86213993	86338083	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	REEP1
ENSG00000068654	2	86020216	86106155	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]	POLR1A
ENSG00000068697	2	20032649	20051693	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]	LAPTM4A
ENSG00000068724	2	46915869	47076137	tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]	TTC7A
ENSG00000068745	3	48688003	48740353	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	IP6K2
